"name","subcategory","rating","number_of_reviews"
"I will setup your live stream","Development for StreamersNew","5.0",1
"I will create a VR game for you with unity and awesome tools","Game Development","5.0",8
"I will code sql,plsql,linux,unix bash shell scripts, powershell","Databases","5.0",1
"I will create automation test for your web and mobile app","QA","5.0",4
"I will create or modify professional microsoft access database","Databases","5.0",8
"I will test your IOS and android games or apps","User Testing","5.0",1
"I will make wordpress woocommerce store or shopify store for you","E-Commerce Development","5.0",2
"I will develop java, javafx programming and gui projects","Desktop Applications","5.0",9
"I will help you build and administrate your salesforce","Support & IT","5.0",2
"I will do manual and automation testing","QA","5.0",3
"I will test your website and give feedback","User Testing","5.0",2
"I will audit your ecommerce site or app and suggest UX improvements","User Testing","5.0",1
"I will provide cybersecurity and devops services","Cybersecurity & Data ProtectionNew","5.0",5
"I will test and review with UX audit your website or app","User Testing","5.0",1
"I will develop or customize oracle application with oracle database","Databases","5.0",1
"I will code ninjatrader, pinescript, tradingview indicator and stock trading bot","Desktop Applications","5.0",4
"I will deploy scalable bigbluebutton clusters","Support & IT","5.0",7
"I will develop stunning apps for your needs","Mobile Apps","5.0",4
"I will diagnose bugs on your wordpress site","WordPress","5.0",3
"I will conduct user testing and reviews for your website or app","User Testing","5.0",1
"I will teach you how to get the most from your google drive or g suite","Online Coding LessonsNew","5.0",3
"I will make an external vulnerability scan for your network","Cybersecurity & Data ProtectionNew","5.0",2
"I will test and QA your Storyline module","User Testing","5.0",1
"I will provide complete, invoicing, billing, management system, CRM","Desktop Applications","5.0",4
"I will design and build your database in mysql or mariadb","Databases","5.0",4
"I will help you set up your streaming setup","Development for StreamersNew","5.0",2
"I will provide splunk development, support and training services","Data Analysis & Reports","5.0",5
"I will develop you react native, hybrid, xamarin flutter cordova,phonegap mobile app","Mobile Apps","5.0",3
"I will make your excel spreadsheets smarter and easier to use","Data Analysis & Reports","5.0",2
"I will test your website functionality,responsive,qa complete site","QA","5.0",4
"I will install and configure windows server and domain controller","Support & IT","5.0",5
"I will professionally test and review your game","User Testing","5.0",4
"I will help you to setup your stream lag free","Development for StreamersNew","5.0",8
"I will do a custom made indicator to ninjatrader","Desktop Applications","5.0",3
"I will build you or your business an alexa skill","Chatbots","5.0",8
"I will train you on microsoft azure cloud az 104, az 900,az 500,az 300","Support & IT","5.0",4
"I will create a manager and moderator telegram bot for your group","Chatbots","5.0",6
"Our studio will design and develop custom wordpress websites with SEO","WordPress","5.0",3
"I will analyze wireshark networking on wired or wireless","QA","5.0",4
"I will teach you theory of computation and automata theory","Online Coding LessonsNew","5.0",4
"I will setup obs for professional  live stream or recording","Development for StreamersNew","5.0",7
"I will create a new chatbot for you","Chatbots","5.0",3
"I will task related to any computer architecture,mips, assembly","Online Coding LessonsNew","5.0",1
"I will teach html and css programming fundamentals","Online Coding LessonsNew","5.0",4
"I will code java, cpp, csharp, vb, asp dot net mvc, api and sql db","Desktop Applications","5.0",3
"I will review your website user experience and suggest improvements","User Testing","5.0",9
"I will create many chat bot for your amazon seller account","Chatbots","5.0",7
"I will create your personal interactive fillable PDF form","Convert Files","5.0",2
"I will perform performance, load and stress testing using jmeter","QA","5.0",4
"I will assist you in microcontroller,microprocessor and arduino","Online Coding LessonsNew","5.0",2
"I will migrate emails to and setup g suite","Support & IT","5.0",3
"I will convert PDF to word, pdf to excel, copy paste, data entry","Convert Files","5.0",6
"I will develop a high quality hybrid app using react native","Mobile Apps","5.0",1
"I will develop custom cms for your website","Website Builders & CMS","5.0",4
"I will teach you big data science in r","Online Coding LessonsNew","5.0",2
"I will design and develop 2d mobile game for you","Game Development","5.0",5
"I will setup live stream on twitch,youtube and any other platform","Development for StreamersNew","5.0",4
"I will install tidio live chat with bots into your website","Chatbots","5.0",9
"I will do QA testing on your website","QA","5.0",6
"I will do UI automation testing with cucumber bdd framework","QA","5.0",5
"I will help with python java exams assignments tasks","Online Coding LessonsNew","5.0",3
"I will create a nice dapp for you","Web Programming","5.0",8
"I will create best server and network icinga2 monitoring system","Support & IT","5.0",6
"I will develop hybrid app flutter or react native app for android and ios","Mobile Apps","5.0",5
"I will teach you mplabx ide for pic microcontroller","Online Coding LessonsNew","5.0",1
"I will perform web accessibility testing and wcag audits","QA","5.0",1
"I will debug and make quality c plus plus projects","Desktop Applications","5.0",2
"I will do mobile app development using flutter","Mobile Apps","5.0",4
"I will teach you cpp javascript nodejs and web development","Online Coding LessonsNew","5.0",2
"I will write a step by step lesson explaining a programming problem","Online Coding LessonsNew","5.0",4
"I will install and fix linux,cpanel,plesk, email,php,wordpress, apache, issues","Support & IT","5.0",4
"Our studio will create a minimalist website startup package","Website Builders & CMS","5.0",2
"I will teach you c,cpp,python,javaonline coding lesson","Online Coding LessonsNew","5.0",1
"I will sell you my published game","Game Development","5.0",2
"I will assist remote network and IT support and fix all computer issues","Support & IT","5.0",8
"I will create a custom PHP codeigniter cms","Web Programming","5.0",6
"I will test software   website or your app QA consulting","QA","5.0",8
"I will provide 3d android based games with best graphics and perfect controls","Game Development","5.0",1
"I will setup streamlabs obs for streaming on twitch or youtube","Development for StreamersNew","5.0",2
"I will do bitrix24 consultations and trainings","Support & IT","5.0",5
"I will test your website and provide user feedback","User Testing","5.0",6
"I will test your video game","User Testing","5.0",2
"I will be your professional unity3d software engineer","Game Development","5.0",3
"I will code for thinkorswim, using thinkscript","Desktop Applications","5.0",9
"I will create a smart chat bot for your home page","Chatbots","5.0",7
"I will setup obs settings for streaming, tweak your PC for gaming","Development for StreamersNew","5.0",4
"I will get your business gdpr compliant","Cybersecurity & Data ProtectionNew","5.0",1
"I will setup and fix your elgato wavelink microphone for recording","Development for StreamersNew","5.0",1
"I will perform penetration testing on your web application","Cybersecurity & Data ProtectionNew","5.0",6
"I will tutor you in artificial intelligence and machine learning","Online Coding LessonsNew","5.0",6
"I will perform a UX review of your website","User Testing","5.0",4
"I will find and fix security vulnerabilities on your server","Cybersecurity & Data ProtectionNew","5.0",3
"I will investigate suspicious url, domain, email, ip, or file","Cybersecurity & Data ProtectionNew","5.0",2
"I will guide you and teach you  how to be a laravel and vue js developer","Online Coding LessonsNew","5.0",5
"I will develop unity game and plugins","Game Development","5.0",4
"I will do unity 3d game development and design","Game Development","5.0",7
"I will full redesign wordpress website","WordPress","5.0",1
"I will test and apply system hardening on your web server","Cybersecurity & Data ProtectionNew","5.0",1
"I will design sql database queries also oracle and access tasks","Databases","5.0",9
"I will issue and install SSL certificate","Cybersecurity & Data ProtectionNew","5.0",2
"I will provide salesforce admin solutions and development","Support & IT","5.0",6
"I will help you set up a livestream for your church","Development for StreamersNew","5.0",1
"I will help set up bots for new streamer","Chatbots","5.0",3
"I will do bigbluebutton integration in any php application","Web Programming","5.0",4
"I will automate any process using uipath studio","Support & IT","5.0",4
"I will program and teaching oracle pl sql, sql, plsql task for you","Databases","5.0",3
"I will design or redesign squarespace website","Website Builders & CMS","5.0",3
"I will design, redesign and install a wordpress website","WordPress","5.0",5
"I will secure your website by performing a penetration testing","User Testing","5.0",4
"I will develop assets and unity source code for 2d game","Game Development","5.0",9
"I will develop dating app or tinder, badoo clone with admin panel","Mobile Apps","5.0",3
"I will do microsoft ms  access databases, queries and assignments","Databases","5.0",9
"I will configure your obs streamlabs for streaming and set up","Development for StreamersNew","5.0",5
"I will do manual QA testing for your game, app or website","QA","5.0",4
"I will fix lamp or related linux problem","Cybersecurity & Data ProtectionNew","5.0",6
"I will rank your amazon fba listing with manychat bot","Chatbots","5.0",6
"I will scan and clean your server from malware","Cybersecurity & Data ProtectionNew","5.0",2
"I will do all types of electrical engineering assignments and reports","QA","5.0",2
"I will design and develop databases","Databases","5.0",1
"I will onboard your clients to gohighlevel and will automate the whole sequence flow","Support & IT","5.0",9
"I will test your steam, nintendo switch or ios game and review","User Testing","5.0",1
"I will design one product branded shopify dropshipping store","E-Commerce Development","5.0",9
"I will test your website, app  for bugs, ux, UI experience","User Testing","5.0",5
"I will do training and consulting on airtable with you","Databases","5.0",9
"I will be your mentor for full stack web development python django","Online Coding LessonsNew","5.0",8
"I will help you with learning programming from the beginning","Online Coding LessonsNew","5.0",2
"I will do QA testing on website and mobile applications","QA","5.0",4
"I will do kindle kdp book formatting and print formatting","Convert Files","5.0",6
"I will be your private javascript tutor","Online Coding LessonsNew","5.0",3
"Our studio will make a spokesperson video and chatbot for your website","Chatbots","5.0",5
"I will do penetration testing of your website or anything","User Testing","5.0",2
"I will do meta analysis and comprehensive systematic review","Data Analysis & Reports","5.0",9
"I will write test cases with react js jest","QA","5.0",1
"I will code a discord bot for you in nodejs, java, or python","Chatbots","5.0",1
"I will create a complite app in filemaker","Databases","5.0",4
"I will help you set up twitch stream including dual PC","Development for StreamersNew","5.0",3
"I will provide website testing and mobile app testing 4 you","User Testing","5.0",4
"I will do unity game development","Game Development","5.0",2
"I will automate or manually build test cases for your software","QA","5.0",1
"I will solve all mongodb related issues and designs","Databases","5.0",3
"I will develop face recognition app","Data Analysis & Reports","5.0",5
"I will set up your obs and provide tech support","Development for StreamersNew","5.0",2
"I will provide custom pos and inventory desktop application","Desktop Applications","5.0",7
"I will help you to go live like a pro","Development for StreamersNew","5.0",1
"I will create information security policy for your company","Support & IT","5.0",2
"I will create webhook for dialogflow in node js and python","Chatbots","5.0",7
"I will develop any desktop application using dot net framework","Desktop Applications","5.0",2
"I will write a custom unity shader","Game Development","5.0",7
"I will do pentesting of your web and mobile apps","QA","5.0",3
"I will professionally test your game","QA","5.0",5
"I will make ar VR multiplayer 3d games","Game Development","5.0",5
"I will setup streamlabs obs professional looking stream, recording in 24hours","Development for StreamersNew","5.0",3
"I will be your programmer in java, c, python, csharp and javascript","Online Coding LessonsNew","5.0",6
"I will help you to build your cybersecurity infrastructure strategy at optimal cost","Cybersecurity & Data ProtectionNew","5.0",1
"I will teach you javascript, react, redux, nodejs, express, mongo db, mongoose, etc","Online Coding LessonsNew","5.0",1
"I will convert your web design to html and css","Web Programming","5.0",4
"I will fully setup your twitch, youtube livestream, obs, xsplit","Development for StreamersNew","5.0",1
"I will teach and coach you to pass your psm and csm certification","Online Coding LessonsNew","5.0",4
"I will audit your manychat and shopify store chatbot and flows","Chatbots","5.0",2
"I will build a mobile app for ios, iphone, ipad, apple watch, appletv","Mobile Apps","5.0",4
"I will create you custom stream alerts, overlays or scenes","Development for StreamersNew","5.0",1
"I will migrate your website to google cloud","Cybersecurity & Data ProtectionNew","5.0",2
"I will make unity endless runner game like templerun for you","Game Development","5.0",2
"I will prototype a game or app for you in unreal engine VR included","Game Development","5.0",5
"I will setup obs for perfect streams on youtube and twitch","Development for StreamersNew","5.0",1
"I will code ninjatrader indicator and strategies, do conversion mt, tos to nt","Desktop Applications","5.0",4
"I will provide help with retropie images and roms","Support & IT","5.0",8
"I will provide remote database administration support","Databases","5.0",5
"I will do mips, avr assembly and verilog projects","User Testing","5.0",7
"I will optimize mysql or mariadb database server","Databases","5.0",7
"I will write for you the perfect sql query in bigquery, mysql, or consulting","Data Analysis & Reports","5.0",9
"I will conduct penetration testing and vulnerability assessment","Cybersecurity & Data ProtectionNew","5.0",2
"I will do projects in c sharp, java, python, c or cpp etc","Desktop Applications","5.0",9
"I will migrate, customize and develop drupal website","Website Builders & CMS","5.0",5
"I will setup or troubleshoot streamlabs obs with you","Development for StreamersNew","5.0",9
"I will develop high quality video game for any platform","Game Development","5.0",5
"I will setup obs for your live stream","Development for StreamersNew","5.0",4
"I will set up streamlabs obs and coach you on how to stream","Development for StreamersNew","5.0",1
"I will give precise reviews on your website or app","User Testing","5.0",1
"I will develop a standard live TV, music, video, streaming app and website","Development for StreamersNew","5.0",1
"Our studio will fix or develop php, laravel, codeigniter website","Web Programming","5.0",6
"I will design a high end webflow website for you","Website Builders & CMS","5.0",2
"I will build a  fully custom designed filemaker database or enhance yours","Databases","5.0",5
"I will design database, queries, erd, uml, normalization","Databases","5.0",2
"I will convert an excel file to a json format of your choice","Convert Files","5.0",1
"I will develop and design a video game or prototype in unity","Game Development","5.0",2
"I will analyze all data and build a normalized database","Databases","5.0",1
"I will develop ai chatbot for social and web platforms","Chatbots","5.0",9
"I will perform QA testing of mobile app and web","QA","5.0",4
"I will develop sqlite,mysql,postgres database and erds","Databases","5.0",5
"I will develop a custom php website on short notice","Website Builders & CMS","5.0",5
"I will help in java assignments and tasks","Desktop Applications","5.0",5
"I will write sql queries and   design ssrs report","Databases","5.0",5
"I will create a 2d, platformer game in unity","Game Development","5.0",2
"I will configure your owncloud, nextcloud or freenas","Support & IT","5.0",4
"I will create, maintain and update sql databases","Databases","5.0",5
"I will help you setup your twitch stream or chatbots","Development for StreamersNew","5.0",6
"I will teach you dart and flutter from basic to pro","Online Coding LessonsNew","5.0",5
"I will teach you basic HTML and css","Online Coding LessonsNew","5.0",2
"I will test your website and review design","QA","5.0",1
"I will conduct statistical data analysis in r, python, spss, stata, or excel","Data Analysis & Reports","5.0",9
"I will configure your live streaming","Development for StreamersNew","5.0",1
"I will indentify game bugs and glitches and will give short review steam and pc","User Testing","5.0",2
"I will teach you wordpress website and bug fixing, 1 to 1 session","Online Coding LessonsNew","5.0",5
"I will setup, customize and automate your zoho creator","Desktop Applications","5.0",5
"I will setup a fully working live streaming","Development for StreamersNew","5.0",4
"I will fix all the computer problems that are overwhelming you while working from home","Support & IT","5.0",4
"I will do longterm qa and testing of the website","QA","5.0",7
"I will develop custom django flask python web app and deploy it","Web Programming","5.0",5
"I will list your token on a cryptocurrency exchange, coinmarketcap","Web Programming","5.0",3
"I will help you setup virtual reality and mixed reality streaming","Development for StreamersNew","5.0",1
"I will teach you programming and development","Online Coding LessonsNew","5.0",3
"I will test your website for usability, functionality and bugs","QA","5.0",3
"I will build your custom google spreadsheet","Data Analysis & Reports","5.0",9
"I will provide insightful, concise, relevant feedback on your site","User Testing","5.0",1
"I will full penetration and security testing","Cybersecurity & Data ProtectionNew","5.0",5
"I will develop script or extension or plugin for adobe products","Desktop Applications","5.0",7
"I will develop robust android and IOS applications using flutter","Mobile Apps","5.0",7
"I will develop live streaming website and live streaming app, radio app,music app","Development for StreamersNew","5.0",1
"I will make a twitch chat bot, whisper bot, API bot","Development for StreamersNew","5.0",1
"I will do QA and test automation on mobile and web applications","QA","5.0",1
"I will do any work in ruby on rails","Web Programming","5.0",5
"I will setup your company VPN for remote work","Cybersecurity & Data ProtectionNew","5.0",1
"I will teach you how to use tableau desktop","Online Coding LessonsNew","5.0",1
"I will do opengl and webgl programming","Desktop Applications","5.0",5
"I will scan and clean your website from malware","Cybersecurity & Data ProtectionNew","5.0",1
"I will do landuse modelling, flood analysis and utility mapping","Databases","5.0",1
"I will develop your game idea or prototype it","Game Development","5.0",3
"I will write your python scripts, automate and complete projects","Desktop Applications","5.0",5
"I will test and review your website, android and ios app or game","QA","5.0",6
"I will build a beautiful wordpress website for your business","WordPress","5.0",5
"I will develop qlik sense apps with best practice principles","Data Analysis & Reports","5.0",3
"Our studio will build a premium wordpress website for your business","WordPress","5.0",9
"I will design and redesign squarespace website design","Website Builders & CMS","5.0",1
"I will create slack app or bot to automate your business process","Chatbots","5.0",1
"I will be your personal excel data analyst","Data Analysis & Reports","5.0",9
"I will help in java cpp python exams and assignments","Online Coding LessonsNew","5.0",5
"I will create a discord chatbot","Chatbots","5.0",1
"I will build you a high converting you dropshipping store","E-Commerce Development","5.0",1
"I will pentest your web application and provide you a full report","User Testing","4.9",7
"I will build an ocr tool with google cloud vision","Desktop Applications","4.9",9
"I will help to make 300k in forex  trading","Web Programming","4.9",9
"I will do data analysis in r, stata, spss,eviews, rstudio, excel","Data Analysis & Reports","4.9",6
"I will do QA for your android or ios mobile app","User Testing","4.9",9
"I will create a modern website using react js and node js","Web Programming","4.9",4
"I will convert your design to HTML","Web Programming","4.9",5
"I will build your machine learning projects","Data Analysis & Reports","4.9",6
"I will provide online gaming and gamification consulting","Game Development","4.9",5
"I will have 20 users perform test your website and provide feedback","User Testing","4.9",3
"I will unity 2d,3d mobile game development","Game Development","4.9",8
"I will build a cash app, payment app, bank app, loan app","Mobile Apps","4.9",5
"I will help setting up your streaming software and discord server","Development for StreamersNew","4.9",3
"I will build a cash app, wallet app, payment app, bank app for you","Mobile Apps","4.9",5
"I will teach you android and IOS app development with flutter","Online Coding LessonsNew","4.8",4
"I will create a stunning responsive website using webflow","Website Builders & CMS","4.8",8
"I will test apps, websites and products including writing a review","User Testing","4.8",4
"I will create a custom section or template in notion","Databases","4.8",5
"I will automate your blender using blender API, bpy, mesh","Desktop Applications","4.8",2
"I will do literally anything in sccm intune and microsoft365 ems","Support & IT","4.8",6
"I will teach you full stack web development","Online Coding LessonsNew","4.8",8
"I will provide a ux audit and consulting for your app or website","User Testing","4.7",2
"I will create instagram bot that will grow your account","Chatbots","4.7",4
"I will do high quality mobile app development for androids and ios","Mobile Apps","4.7",6
"I will provide expert advice on cybersecurity and data protection","Cybersecurity & Data ProtectionNew","4.7",7
"I will teach you how to make chat and apis using nodejs socket","Online Coding LessonsNew","4.6",6
"I will perform load test and analyze performance","QA","4.4",8
"I will create a robust and responsive wordpress website","WordPress","4.4",7
"I will setup cwp plesk zpanel direct admin isp config","Support & IT","4.3",7
"I will help you set up streamlabs obs and other streaming tips","Development for StreamersNew","4.3",2
"Our studio will build a website and social presence","Website Builders & CMS","4.3",1
"I will create alexa skill for your podcast","Chatbots","4.2",2
"I will develop web applications for your business","Web Programming","4.2",5
"I will help you live stream to multiple social media sites","Development for StreamersNew","4.0",1
"Our studio will offer complete music website design","Web Programming","4.0",2
"I will develop android and IOS ewallet app, cash app, payment app","Mobile Apps","4.0",3
"I will setup obs for perfect streams for youtube,facebook,pubg,etc","Development for StreamersNew","1.0",1
